2-factor authentication,authentification à deux facteurs,EN,FR
2FA,A2F,EN,FR
access brokering,injection des identifiants,EN,FR
access control,contrôle d'accès,EN,FR
access management,gestion de l'accès,EN,FR
access point,point d'accès,EN,FR
access token,jeton d’accès,EN,FR
access URI,URI d'accès,EN,FR
account discovery,détection de compte,EN,FR
action items,éléments d’action,EN,FR
active threat,menace active,EN,FR
activity monitor,moniteur d'activité,EN,FR
administration log,journal d'administration,EN,FR
administrative credentials,informations d'identification d'administration,EN,FR
administrative privileges,privilèges administratifs,EN,FR
Advanced Encryption Standard,norme de chiffrement avancé,EN,FR
advisories,avis,EN,FR
AES,norme AES,EN,FR
allowlist,liste blanche,EN,FR
anti-malware,anti-maliciel,EN,FR
API Hooking,accrochage d'API,EN,FR
application password,mot de passe d'application,EN,FR
application server,serveur d'applications,EN,FR
approval message,message d'approbation,EN,FR
asset,actif,EN,FR
asymetric key,clé asymétrique,EN,FR
asymmetric cryptographic technique,technique cryptographique asymétrique,EN,FR
audit trail,piste d'audit,EN,FR
auditing,auditer,EN,FR
authentication,authentification,EN,FR
authenticator,authentificateur,EN,FR
availability,disponibilité,EN,FR
B2B,C3E,EN,FR
back-end,dorsale,EN,FR
back-end application,application dorsale,EN,FR
backdoor,porte dérobée,EN,FR
backup copy,copie de sauvegarde,EN,FR
batch,lot,EN,FR
beaconing,balisage,EN,FR
best practices,meilleures pratiques,EN,FR
Big Data,mégadonnées,EN,FR
biometric characteristic,caractéristique biométrique,EN,FR
biometric feature,attribut biométrique,EN,FR
biometric identifier,identificateur biométrique,EN,FR
biometric mark,marque biométrique,EN,FR
biometrics,biométrie,EN,FR
biometry,biométrie,EN,FR
blocklist,liste noire,EN,FR
blowfish,blowfish,EN,FR
boot volume,volume de démarrage,EN,FR
bring your own device,apportez vos appareils personnels,EN,FR
browser extension,extension de navigateur,EN,FR
brute force attack,attaque par force brute,EN,FR
buffer overflow,dépassement de mémoire tampon,EN,FR
buffer overrun,dépassement de mémoire tampon,EN,FR
business-to-business e-commerce,commerce électronique interentreprises,EN,FR
BYOD,apportez vos appareils personnels,EN,FR
byte,octet,EN,FR
cache,cache,EN,FR
captcha,captcha,EN,FR
castle approach,défense en profondeur,EN,FR
CDO,directeur des données,EN,FR
CEO fraud,escroquerie au faux ordre de virement,EN,FR
certificate authority,autorité de certification,EN,FR
certificate host name,nom d'hôte du certificat,EN,FR
certificate store,magasin de certificats,EN,FR
certificate validation,validation du certificat,EN,FR
certificate validation error,erreur de validation du certificat,EN,FR
chatrooms,salons de clavardage,EN,FR
check in,restituer,EN,FR
check out,réserver,EN,FR
check-in,restitution,EN,FR
check-out,réservation,EN,FR
checkin,restitution,EN,FR
checkout,réservation,EN,FR
checkout approval,demande de réservation,EN,FR
chief data officer,directeur des données,EN,FR
chief information security officer,responsable de la sécurité de l'information,EN,FR
chief security officer,chef de la sécurité,EN,FR
ciphertext,texte chiffré,EN,FR
CISO,responsable de la sécurité de l'information,EN,FR
clean desk policy,politique en matière de rangement du bureau,EN,FR
client application,application client,EN,FR
client-side encryption,chiffrement côté client,EN,FR
clipboard,presse-papiers,EN,FR
cloud,nuage,EN,FR
cloud computing,infonuagique,EN,FR
cloud-based,basé sur le nuage,EN,FR
cloud-based password manager,gestionnaire de mots de passe basé sur le nuage,EN,FR
cmdlet,applet de commande,EN,FR
code breaking,décryptement,EN,FR
command call,appel d'une commande,EN,FR
command-line argument,argument de ligne de commande,EN,FR
companion tool,outil connexe,EN,FR
Completely Automated Public Turing Test to Tell Computers and Humans Apart,captcha,EN,FR
compliance violation,infraction de conformité,EN,FR
computer disaster,sinistre informatique,EN,FR
computer emergency response team,équipe d'intervention en cas d'urgence informatique,EN,FR
computer worm,ver informatique,EN,FR
configuration file,fichier de configuration,EN,FR
confirmation dialog box,boîte de dialogue de confirmation,EN,FR
consolidated view,vue consolidée,EN,FR
control of access,contrôle de l'accès,EN,FR
cookie,témoin,EN,FR
copy-paste,copier-coller,EN,FR
core module,module de base,EN,FR
cost benefit analysis,analyse de rendement,EN,FR
courseware,didacticiel,EN,FR
CPU clock speed,vitesse d'horloge du processeur,EN,FR
credential,identifiant,EN,FR
credential entry,entrée d'identifiants,EN,FR
credential repository,dépôt d'identifiants,EN,FR
crimeware,logiciel criminel,EN,FR
critical infrastructure provider,fournisseur d'infrastructures essentielles,EN,FR
cross-functional team,équipe interfonctionnelle,EN,FR
cross-platform,multiplateforme,EN,FR
cryptanalysis,cryptanalyse,EN,FR
cryptoanalysis,cryptanalyse,EN,FR
cryptogram,cryptogramme,EN,FR
cryptography,cryptographie,EN,FR
cryptotext,texte chiffré,EN,FR
CSO,dirigeant principal de la Sécurité,EN,FR
custom installer service,service d'installateur personnalisé,EN,FR
cyber attack,cyberattaque,EN,FR
cyber incident,cyberincident,EN,FR
cyber insurance,cyberassurance,EN,FR
cyber security,cybersécurité,EN,FR
cyber threat,cybermenace,EN,FR
cybercrime,cybercriminalité,EN,FR
cybersecurity manager,gestionnaire en cybersécurité,EN,FR
cyberseminar,cyberséminaire,EN,FR
dark pattern,interface truquée,EN,FR
dashboard,tableau de bord,EN,FR
data breach,violation de données,EN,FR
data corruption,altération de données,EN,FR
Data Encryption Standard,algorithme DES,EN,FR
data integrity,intégrité des données,EN,FR
data mining,exploration de données,EN,FR
data shredder,destructeur de données,EN,FR
data source,source de données,EN,FR
data source log,journal de base de données,EN,FR
database,base de données,EN,FR
decryption,déchiffrement,EN,FR
deep learning,apprentissage en profondeur,EN,FR
defense-in-depth,défense en profondeur,EN,FR
denial-of-service attack,attaque par déni de service,EN,FR
deployed on-premises,déployé localement,EN,FR
deployment,déploiement,EN,FR
DES,algorithme DES,EN,FR
Devolutions Cloud,Devolutions Cloud,EN,FR
Devolutions Forum,Devolutions Forum,EN,FR
Devolutions Gateway,Devolutions Gateway,EN,FR
Devolutions Gateway PowerShell Module,Devolutions Gateway PowerShell Module,EN,FR
Devolutions Hub,Devolutions Hub,EN,FR
Devolutions Hub Business,Devolutions Hub Business,EN,FR
Devolutions Hub Importer,Devolutions Hub Importer,EN,FR
Devolutions Hub Personal,Devolutions Hub Personal,EN,FR
Devolutions Hub Services,Devolutions Hub Services,EN,FR
Devolutions Launcher,Devolutions Launcher,EN,FR
Devolutions Localizer,Devolutions Localizer,EN,FR
Devolutions Portal,Devolutions Portal,EN,FR
Devolutions PowerShell,Devolutions PowerShell,EN,FR
Devolutions Server,Devolutions Server,EN,FR
Devolutions Server PowerShell Module,Devolutions Server PowerShell Module,EN,FR
Devolutions Server Secret Management,Devolutions Server Secret Management,EN,FR
Devolutions Updater,Devolutions Updater,EN,FR
Devolutions Web Login,Devolutions Web Login,EN,FR
Devolutions Workspace,Devolutions Workspace,EN,FR
Devolutions.PowerShell module,module Devolutions.PowerShell,EN,FR
dialog,dialogue,EN,FR
digital,numérique,EN,FR
digital fingerprint,empreinte numérique,EN,FR
digital shift,virage numérique,EN,FR
digital signature,signature numérique,EN,FR
directory,répertoire,EN,FR
directory service,service de répertoire,EN,FR
disaster recovery as a service,reprise après sinistre en tant que service,EN,FR
display scaling,mise à l'échelle,EN,FR
distributed denial-of-service attack,attaque par déni de service distribué,EN,FR
DNS,DNS,EN,FR
Domain Name System,système de noms de domaine,EN,FR
domain service,service de domaine,EN,FR
double encryption,double chiffrement,EN,FR
DRaaS,reprise après sinistre en tant que service,EN,FR
drive-by download,téléchargements furtifs,EN,FR
drive-by installation,installation furtive,EN,FR
drop-down list,liste déroulante,EN,FR
drop-down menu,menu déroulant,EN,FR
DVLS,DVLS,EN,FR
EDR,EDR,EN,FR
educational software,logiciel didactique,EN,FR
electronic signature,signature électronique,EN,FR
elevation prompt,invite d’élévation,EN,FR
ellipsis,points de suspension,EN,FR
email,courriel,EN,FR
email filter,mécanisme de filtrage des courriels,EN,FR
embedded,intégré,EN,FR
emergency reset,réinitialisation d'urgence,EN,FR
enciphered message,message chiffré,EN,FR
encrypt,chiffrer,EN,FR
encrypted,chiffré,EN,FR
encryption,chiffrement,EN,FR
encryption at rest,chiffrement au repos,EN,FR
encryption in transit,chiffrement en transit,EN,FR
end user,utilisateur final,EN,FR
end-to-end encryption,chiffrement de bout en bout,EN,FR
endpoint,point de terminaison,EN,FR
endpoint detection and response,détection et réponse sur les terminaux,EN,FR
endpoint security,sécurité de point terminal,EN,FR
entry,entrée,EN,FR
entry poiny,point d'entrée,EN,FR
environment Variable Edition,variable d'environnement,EN,FR
ethical hacker,chapeau blanc,EN,FR
ethical walls,séparation déontologique,EN,FR
exception list,liste des exceptions,EN,FR
facial recognition,reconnaissance faciale,EN,FR
favicon,favicône,EN,FR
feature delegation,délégation des fonctionnalités,EN,FR
federated system,système fédéré,EN,FR
field,champ,EN,FR
file shredder,destructeur de fichiers,EN,FR
File Transfer Protocol,protocole de transfert de fichiers,EN,FR
firewall,pare-feu,EN,FR
four-eye principle,principe des quatre yeux,EN,FR
fragmentation,fragmentation,EN,FR
GB,Go,EN,FR
GDPR,RGPD,EN,FR
general Data Protection Regulation,règlement général sur la protection des données,EN,FR
geofencing,géorepérage,EN,FR
gigabyte,gigaoctet,EN,FR
GPO,objet stratégie de groupe,EN,FR
grant access,octroyer l'accès,EN,FR
granting access,octroi de l'accès,EN,FR
grey hat hacker,chapeau gris,EN,FR
group policy object,objet stratégie de groupe,EN,FR
guest operating system,système d'exploitation invité,EN,FR
hacktivism,hacktivisme,EN,FR
hard token,jeton matériel,EN,FR
hardware authentication token,jeton d'authentification matériel,EN,FR
hardware identifier,identificateur du matériel,EN,FR
hardware security token,jeton de sécurité matériel,EN,FR
hardware token,jeton matériel,EN,FR
hashing,hachage,EN,FR
help desk technicians,techniciens du service d'assistance,EN,FR
high DPI,haute résolution,EN,FR
high integrity application,application à haute intégrité,EN,FR
hook,crochet,EN,FR
host operating system,système d'exploitation hôte,EN,FR
host software communication,interface de communication HSC,EN,FR
hosted,hébergé,EN,FR
Hub,Hub,EN,FR
Hub Business,Hub Business,EN,FR
Hub Importer,Hub Importer,EN,FR
Hub Personal,Hub Personal,EN,FR
HyperText Transfer Protocol,protocole de transfert hypertexte,EN,FR
IAM,IAM,EN,FR
identity and access management,gestion des identités et des accès,EN,FR
IIS Manager,gestionnaire IIS,EN,FR
implementation,implantation,EN,FR
Incident Reporting System,système de notification des incidents,EN,FR
incremental backup,sauvegarde incrémentielle,EN,FR
information Security Management System,système de management de la sécurité de l'information,EN,FR
InfoSec,sécurité de l'information,EN,FR
inherited,hérité,EN,FR
installation package,paquet d'installation,EN,FR
installed on-premises,installé localement,EN,FR
integrity level,niveau d’intégrité,EN,FR
Internet Protocol spoofing,mystification du protocole Internet,EN,FR
IP spoofing,mystification IP,EN,FR
IRS,IRS,EN,FR
ISMS,SMSI,EN,FR
IT professionnal,professionnel de l'informatique,EN,FR
IT threat,menace liée à la sécurité des TI,EN,FR
JIT,JAT,EN,FR
JIT access,accès JAT,EN,FR
JIT connection,connexion JAT,EN,FR
just-in-time,juste-à-temps,EN,FR
just-in-time access,accès juste-à-temps,EN,FR
just-in-time connection,connexion juste-à-temps,EN,FR
KDF,fonction de dérivation de clé,EN,FR
key derivation function,fonction de dérivation de clé,EN,FR
kill chain,chaîne de destruction,EN,FR
Knowledge Base,Base de connaissances,EN,FR
landing page,page de renvoi,EN,FR
layer 2 tunneling,protocole d'acheminement couche 2,EN,FR
layout,mise en page,EN,FR
LDAP,protocole LDAP,EN,FR
legacy,ancien,EN,FR
legacy system,système hérité,EN,FR
license number,clé de licence,EN,FR
license serial,clé de licence,EN,FR
Lightweight Directory Access Protocol,protocole allégé d'accès annuaire,EN,FR
listener,écouteur,EN,FR
load balanced,équilibré en charge,EN,FR
load balancing,équilibrage des charges,EN,FR
lock pattern,schéma de déverrouillage,EN,FR
log,journal,EN,FR
logic bomb,bombe logique,EN,FR
login name,nom de connexion,EN,FR
low integrity application,application à faible intégrité,EN,FR
macOS,macOS,EN,FR
malicious actor,mauvais acteur,EN,FR
malicious software,logiciel malveillant,EN,FR
malware,maliciel,EN,FR
man-in-the-middle attack,attaque de « l'homme du milieu »,EN,FR
managed service provider,fournisseur de services gérés,EN,FR
mapped drive,lecteur mappé,EN,FR
markdown,markdown,EN,FR
master key,clé maîtresse,EN,FR
master password,mot de passe maître,EN,FR
MB,Mo,EN,FR
media access control address,adresse MAC,EN,FR
megabyte,mégaoctet,EN,FR
metadata,métadonnées,EN,FR
